IDDate,ID,Date,DatePlus15,Week,Rank,Total GR,Total GR Rec,Total GR Given,GR AF,TotalKnownDuration,FreqTotalGR,FreqGRRec,FreqGRGiven,FreqGRAF,5mAF,5mAllAdults,Scansperday,FreqAFProx,FreqAllAdultProx
0J03/11/2015,0J0,3/11/15,3/26/15,11,20,0:08:20,0:08:20,0:00:00,0:00:00,1:00:18,0.138197899,0.138197899,0,0,17,26,13,1.307692308,2
0J03/12/2015,0J0,3/12/15,3/27/15,11,20,0:09:16,0:09:16,0:00:00,0:09:16,0:26:53,0.344699318,0.344699318,0,0.344699318,7,12,6,1.166666667,2
0J03/13/2015,0J0,3/13/15,3/28/15,11,20,0:02:16,0:02:16,0:00:00,0:02:16,0:30:07,0.075262867,0.075262867,0,0.075262867,7,8,7,1,1.142857143
0J03/16/2015,0J0,3/16/15,3/31/15,12,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:50,0,0,0,0,6,9,7,0.857142857,1.285714286
0J03/17/2015,0J0,3/17/15,4/1/15,12,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:07,0,0,0,0,4,4,7,0.571428571,0.571428571
0J03/18/2015,0J0,3/18/15,4/2/15,12,20,0:08:52,0:08:52,0:00:00,0:00:00,0:30:23,0.291826659,0.291826659,0,0,7,7,7,1,1
0J03/2/2015,0J0,3/2/15,3/17/15,10,20,0:14:00,0:14:00,0:00:00,0:14:00,0:30:11,0.463832137,0.463832137,0,0.463832137,9,12,7,1.285714286,1.714285714
0J03/20/2015,0J0,3/20/15,4/4/15,12,20,0:14:40,0:14:40,0:00:00,0:12:08,0:30:00,0.488888889,0.488888889,0,0.404444444,3,3,7,0.428571429,0.428571429
0J03/24/2015,0J0,3/24/15,4/8/15,13,20,0:00:00,0:00:00,0:00:00,0:00:00,1:02:01,0,0,0,0,33,46,14,2.357142857,3.285714286
0J03/25/2015,0J0,3/25/15,4/9/15,13,20,0:05:52,0:05:52,0:00:00,0:00:00,0:29:55,0.196100279,0.196100279,0,0,3,6,6,0.5,1
0J03/26/2015,0J0,3/26/15,4/10/15,13,20,0:14:00,0:14:00,0:00:00,0:00:00,0:32:00,0.4375,0.4375,0,0,5,12,7,0.714285714,1.714285714
0J03/3/2015,0J0,3/3/15,3/18/15,10,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:42,0,0,0,0,2,5,6,0.333333333,0.833333333
0J03/30/2015,0J0,3/30/15,4/14/15,14,20,0:01:13,0:01:13,0:00:00,0:01:13,0:30:13,0.040264755,0.040264755,0,0.040264755,4,6,7,0.571428571,0.857142857
0J03/5/2015,0J0,3/5/15,3/20/15,10,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:20,0,0,0,0,1,1,7,0.142857143,0.142857143
0J03/6/2015,0J0,3/6/15,3/21/15,10,20,0:08:00,0:04:00,0:04:00,0:00:00,0:30:00,0.266666667,0.133333333,0.133333333,0,7,12,7,1,1.714285714
0J03/9/2015,0J0,3/9/15,3/24/15,11,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:30,0,0,0,0,1,3,7,0.142857143,0.428571429
0J04/1/2015,0J0,4/1/15,4/16/15,14,20,0:00:00,0:00:00,0:00:00,0:00:00,1:01:31,0,0,0,0,17,25,14,1.214285714,1.785714286
0J04/13/2015,0J0,4/13/15,4/28/15,16,20,0:03:06,0:03:06,0:00:00,0:00:00,0:30:00,0.103333333,0.103333333,0,0,0,0,7,0,0
0J04/14/2015,0J0,4/14/15,4/29/15,16,20,0:01:42,0:01:42,0:00:00,0:00:00,0:30:17,0.056136489,0.056136489,0,0,2,4,7,0.285714286,0.571428571
0J04/15/2015,0J0,4/15/15,4/30/15,16,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:00,0,0,0,0,10,15,7,1.428571429,2.142857143
0J04/16/2015,0J0,4/16/15,5/1/15,16,20,0:02:00,0:00:00,0:02:00,0:02:00,0:31:00,0.064516129,0,0.064516129,0.064516129,9,13,7,1.285714286,1.857142857
0J04/20/2015,0J0,4/20/15,5/5/15,17,20,0:09:31,0:03:08,0:06:23,0:09:31,0:58:02,0.163986215,0.053991959,0.109994256,0.163986215,13,15,13,1,1.153846154
0J04/22/2015,0J0,4/22/15,5/7/15,17,20,0:00:00,0:00:00,0:00:00,0:00:00,0:29:59,0,0,0,0,5,9,7,0.714285714,1.285714286
0J04/23/2015,0J0,4/23/15,5/8/15,17,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:24,0,0,0,0,12,18,7,1.714285714,2.571428571
0J04/6/2015,0J0,4/6/15,4/21/15,15,20,0:01:44,0:01:44,0:00:00,0:00:00,0:52:14,0.033184429,0.033184429,0,0,5,7,12,0.416666667,0.583333333
0J04/8/2015,0J0,4/8/15,4/23/15,15,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:03,0,0,0,0,3,4,7,0.428571429,0.571428571
0J04/9/2015,0J0,4/9/15,4/24/15,15,20,0:00:00,0:00:00,0:00:00,0:00:00,0:30:29,0,0,0,0,9,10,7,1.285714286,1.428571429
0J11/23/2015,0J1,1/23/15,2/7/15,4,18,0:00:00,0:00:00,0:00:00,0:00:00,0:30:36,0,0,0,0,3,6,7,0.428571429,0.857142857
0J11/26/2015,0J1,1/26/15,2/10/15,5,18,0:09:57,0:09:53,0:00:04,0:00:00,1:03:02,0.157852988,0.156795346,0.001057641,0,2,9,14,0.142857143,0.642857143
0J12/11/2015,0J1,2/11/15,2/26/15,7,18,0:00:00,0:00:00,0:00:00,0:00:00,0:30:33,0,0,0,0,8,12,7,1.142857143,1.714285714
0J12/16/2015,0J1,2/16/15,3/3/15,8,18,0:07:27,0:07:27,0:00:00,0:07:27,1:00:34,0.123004953,0.123004953,0,0.123004953,14,18,14,1,1.285714286
0J12/17/2015,0J1,2/17/15,3/4/15,8,18,0:08:49,0:07:38,0:01:11,0:00:00,0:29:39,0.297358066,0.257448004,0.039910062,0,4,8,7,0.571428571,1.142857143
0J12/18/2015,0J1,2/18/15,3/5/15,8,18,0:02:46,0:02:46,0:00:00,0:02:46,0:30:31,0.090660841,0.090660841,0,0.090660841,5,5,7,0.714285714,0.714285714
0J12/2/2015,0J1,2/2/15,2/17/15,6,18,0:00:00,0:00:00,0:00:00,0:00:00,0:30:25,0,0,0,0,3,8,7,0.428571429,1.142857143
0J12/23/2015,0J1,2/23/15,3/10/15,9,18,0:05:13,0:05:13,0:00:00,0:00:00,0:26:02,0.200384123,0.200384123,0,0,0,1,6,0,0.166666667
0J12/24/2015,0J1,2/24/15,3/11/15,9,18,0:00:00,0:00:00,0:00:00,0:00:00,0:30:13,0,0,0,0,18,20,7,2.571428571,2.857142857
0J12/25/2015,0J1,2/25/15,3/12/15,9,18,0:04:00,0:04:00,0:00:00,0:00:00,0:31:00,0.129032258,0.129032258,0,0,7,7,7,1,1
0J12/26/2015,0J1,2/26/15,3/13/15,9,18,0:08:33,0:08:33,0:00:00,0:00:00,0:30:21,0.281713344,0.281713344,0,0,2,4,7,0.285714286,0.571428571
