ID,NEO_SampleNo,NEO_Date,NEO.CR,Behav_Date,DateDiff,Month,Rank,RelRank,TotalObservedTime,Total.GR,Total.GR.Rec,Total.GR.Given,FreqTotalGR,FreqGRRec,FreqGRGiven,ProxAll,Scansperday,FreqAllProx,TotalGRAF,TotalGrAM,TotalGrJuv,FreqGRAF,FreqTotalGrAM,FreqTotalGrJuv,GrRecAF,GrRecAM,GrRecJuv,FreqGrRecAF,FreqGrRecAM,FreqGrRecJuv,TimeSpentCop,TimeSpentConsort,FreqTimeSpentCop,FreqTimeSpentConsort
1E5,83,2/9/15,195.79450,2/9/15,0,2,25,0.480769231,0:30:26,0:14:03,0:14:01,0:00:02,0.461664841,0.460569551,0.00109529,5,7,0.714285714,0:09:02,0:00:00,0:00:00,0.296823658,0,0,0:09:02,0:00:00,0:04:59,0.296823658,0,0.163745893,0:00:00,0:16:59,0,0.55805
1E5,221,3/18/15,145.50808,3/18/15,0,3,25,0.480769231,0:30:34,0:01:43,0:01:43,0:00:00,0.056161396,0.056161396,0,10,7,1.428571429,0:01:43,0:00:00,0:00:00,0.056161396,0,0,0:01:43,0:00:00,0:00:00,0.056161396,0,0,0:00:00,0:00:00,0,0
1E5,249,3/24/15,358.59321,3/24/15,0,3,25,0.480769231,0:31:22,0:02:34,0:02:34,0:00:00,0.081827843,0.081827843,0,74,7,10.57142857,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:02:34,0,0,0.081827843,0:00:00,0:00:00,0,0
1E5,328,4/14/15,506.45958,4/14/15,0,4,25,0.480769231,0:30:31,0:10:31,0:10:23,0:00:00,0.344620426,0.34025123,0,19,7,2.714285714,0:01:22,0:04:21,0:00:00,0.044784271,0.142545057,0,0:01:22,0:04:21,0:04:40,0.044784271,0.142545057,0.152921901,0:00:00,0:00:00,0,0
1E5,361,4/20/15,317.44877,4/20/15,0,4,25,0.480769231,1:00:45,0:00:00,0:00:00,0:00:00,0,0,0,79,14,5.642857143,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
1E5,299,4/6/15,256.90062,4/6/15,0,4,25,0.480769231,0:27:06,0:00:00,0:00:00,0:00:00,0,0,0,0,5,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
1E5,309,4/7/15,196.98357,4/7/15,0,4,25,0.480769231,1:30:42,0:28:39,0:13:15,0:00:37,0.315876516,0.146085998,0.006798971,22,19,1.157894737,0:12:52,0:00:00,0:00:00,0.14185961,0,0,0:27:08,0:00:00,0:00:54,0.299154723,0,0.009922822,0:00:23,0:10:44,0.004226,0.118339
2J9,135,2/24/15,183.03741,2/24/15,0,2,29,0.557692308,1:01:04,0:00:00,0:00:00,0:00:00,0,0,0,35,14,2.5,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:43,0:00:00,0.011736,0
2J9,233,3/20/15,179.23895,3/20/15,0,3,29,0.557692308,0:31:12,0:07:43,0:07:43,0:00:00,0.24732906,0.24732906,0,92,7,13.14285714,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:07:43,0,0,0.24732906,0:00:00,0:00:00,0,0
2J9,236,3/23/15,223.09621,3/23/15,0,3,29,0.557692308,0:31:28,0:00:00,0:00:00,0:00:00,0,0,0,18,7,2.571428571,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
2J9,165,3/3/15,509.30336,3/4/15,1,3,29,0.557692308,1:01:14,0:00:00,0:00:00,0:00:00,0,0,0,44,14,3.142857143,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
2J9,281,4/1/15,378.66536,4/1/15,0,4,29,0.557692308,0:30:45,0:08:30,0:00:00,0:08:30,0.276422764,0,0.276422764,35,7,5,0:00:00,0:00:00,0:08:30,0,0,0.276422764,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
2J9,352,4/16/15,334.45986,4/15/15,-1,4,29,0.557692308,0:30:27,0:15:04,0:09:06,0:05:58,0.494800219,0.298850575,0.195949644,18,7,2.571428571,0:00:00,0:00:00,0:09:14,0,0,0.303229338,0:00:00,0:00:00,0:09:06,0,0,0.298850575,0:00:00,0:00:00,0,0
2J9,360,4/20/15,147.41158,4/20/15,0,4,29,0.557692308,0:30:30,0:00:00,0:00:00,0:00:00,0,0,0,51,6,8.5,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:04,0:00:00,0.002186,0
2J9,378,4/21/15,485.60163,4/21/15,0,4,29,0.557692308,1:00:49,0:00:00,0:00:00,0:00:00,0,0,0,35,14,2.5,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
2J9,318,4/9/15,228.08799,4/9/15,0,4,29,0.557692308,1:00:33,0:10:01,0:00:00,0:10:01,0.165428021,0,0.165428021,49,14,3.5,0:03:18,0:00:00,0:00:00,0.054500413,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:04,0:00:00,0.001101,0
3I2,102,2/18/15,112.57272,2/18/15,0,2,14,0.269230769,0:30:19,0:07:38,0:07:20,0:00:18,0.251786696,0.241891149,0.009895547,16,7,2.285714286,0:07:38,0:00:00,0:00:00,0.251786696,0,0,0:07:20,0:00:00,0:00:00,0.241891149,0,0,0:00:00,0:00:00,0,0
3I2,63,2/3/15,97.19740,2/2/15,-1,2,14,0.269230769,0:30:43,0:00:02,0:00:02,0:00:00,0.001085187,0.001085187,0,18,7,2.571428571,0:00:02,0:00:00,0:00:00,0.001085187,0,0,0:00:02,0:00:00,0:00:00,0.001085187,0,0,0:00:00,0:00:00,0,0
3I2,132,2/24/15,95.40576,2/24/15,0,2,14,0.269230769,0:30:22,0:03:37,0:03:37,0:00:00,0.11909989,0.11909989,0,15,7,2.142857143,0:00:00,0:00:00,0:03:37,0,0,0.11909989,0:00:00,0:00:00,0:03:37,0,0,0.11909989,0:00:51,0:00:00,0.027991,0
3I2,81,2/9/15,100.55657,2/9/15,0,2,14,0.269230769,0:35:52,0:01:31,0:01:31,0:00:00,0.042286245,0.042286245,0,19,6,3.166666667,0:00:00,0:00:00,0:01:31,0,0,0.042286245,0:00:00,0:00:00,0:01:31,0,0,0.042286245,0:00:00,0:00:00,0,0
3I2,192,3/10/15,224.69691,3/10/15,0,3,14,0.269230769,0:30:27,0:00:19,0:00:19,0:00:00,0.010399562,0.010399562,0,37,7,5.285714286,0:00:19,0:00:00,0:00:00,0.010399562,0,0,0:00:19,0:00:00,0:00:00,0.010399562,0,0,0:00:00,0:00:00,0,0
3I2,206,3/16/15,177.99960,3/16/15,0,3,14,0.269230769,1:00:45,0:03:30,0:03:30,0:00:00,0.057613169,0.057613169,0,174,13,13.38461538,0:03:30,0:00:00,0:00:00,0.057613169,0,0,0:03:30,0:00:00,0:00:00,0.057613169,0,0,0:00:28,0:00:00,0.007682,0
3I2,156,3/2/15,101.37378,3/2/15,0,3,14,0.269230769,0:30:32,0:00:00,0:00:00,0:00:00,0,0,0,57,7,8.142857143,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
3I2,242,3/23/15,106.76600,3/23/15,0,3,14,0.269230769,0:30:00,0:00:00,0:00:00,0:00:00,0,0,0,51,5,10.2,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
3I2,252,3/24/15,148.03519,3/24/15,0,3,14,0.269230769,0:29:53,0:15:59,0:15:20,0:00:39,0.53485778,0.513106525,0.021751255,43,8,5.375,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:15:20,0,0,0.513106525,0:00:00,0:00:00,0,0
